Date,COTTAGE GROVE,DORENA,FERN RIDGE,BLUE RIVER,COUGAR,FALL CREEK,HILLS CREEK,LOOKOUT POINT,DETROIT,FOSTER
01Mar1900,765.22,795.23,362.33,1289.84,1614.84,791.09,1499.74,879.79,1513.77,620.6
02Mar1900,765.59,795.79,362.64,1290.84,1615.99,791.69,1500.35,880.46,1514.62,620.9
03Mar1900,765.97,796.35,362.94,1291.84,1617.15,792.30,1500.96,881.13,1515.46,621.1
04Mar1900,766.34,796.91,363.25,1292.84,1618.31,792.90,1501.56,881.80,1516.31,621.4
05Mar1900,766.72,797.48,363.56,1293.84,1619.47,793.51,1502.17,882.47,1517.15,621.6
06Mar1900,767.09,798.04,363.86,1294.84,1620.62,794.11,1502.78,883.14,1518.00,621.9
07Mar1900,767.47,798.60,364.17,1295.85,1621.78,794.72,1503.38,883.81,1518.85,622.2
08Mar1900,767.84,799.16,364.48,1296.85,1622.94,795.32,1503.99,884.48,1519.69,622.4
09Mar1900,768.22,799.72,364.78,1297.85,1624.10,795.93,1504.60,885.15,1520.54,622.7
10Mar1900,768.59,800.28,365.09,1298.85,1625.26,796.53,1505.20,885.82,1521.38,622.9
11Mar1900,768.97,800.84,365.40,1299.85,1626.41,797.13,1505.81,886.49,1522.23,623.2
12Mar1900,769.34,801.40,365.70,1300.85,1627.57,797.74,1506.42,887.16,1523.08,623.4
13Mar1900,769.72,801.96,366.01,1301.85,1628.73,798.34,1507.02,887.83,1523.92,623.7
14Mar1900,770.09,802.52,366.32,1302.85,1629.89,798.95,1507.63,888.50,1524.77,623.9
15Mar1900,770.47,803.09,366.63,1303.85,1631.04,799.55,1508.24,889.17,1525.61,624.2
16Mar1900,770.84,803.65,366.93,1304.85,1632.20,800.16,1508.85,889.84,1526.46,624.4
17Mar1900,771.22,804.21,367.24,1305.85,1633.36,800.76,1509.45,890.50,1527.30,624.7
18Mar1900,771.59,804.77,367.55,1306.85,1634.52,801.37,1510.06,891.17,1528.15,624.9
19Mar1900,771.97,805.33,367.85,1307.85,1635.67,801.97,1510.67,891.84,1529.00,625.2
20Mar1900,772.34,805.89,368.16,1308.85,1636.83,802.57,1511.27,892.51,1529.84,625.5
21Mar1900,772.72,806.45,368.47,1309.85,1637.99,803.18,1511.88,893.18,1530.69,625.7
22Mar1900,773.09,807.01,368.77,1310.85,1639.15,803.78,1512.49,893.85,1531.53,626.0
23Mar1900,773.47,807.57,369.08,1311.86,1640.31,804.39,1513.09,894.52,1532.38,626.2
24Mar1900,773.84,808.13,369.39,1312.86,1641.46,804.99,1513.70,895.19,1533.23,626.5
25Mar1900,774.22,808.70,369.70,1313.86,1642.62,805.60,1514.31,895.86,1534.07,626.7
26Mar1900,774.59,809.26,370.00,1314.86,1643.78,806.20,1514.91,896.53,1534.92,627.0
27Mar1900,774.97,809.82,370.31,1315.86,1644.94,806.81,1515.52,897.20,1535.76,627.2
28Mar1900,775.34,810.38,370.62,1316.86,1646.09,807.41,1516.13,897.87,1536.61,627.5
29Mar1900,775.72,810.94,370.92,1317.86,1647.25,808.02,1516.73,898.54,1537.45,627.7
30Mar1900,776.09,811.50,371.23,1318.86,1648.41,808.62,1517.34,899.21,1538.30,628.0
31Mar1900,776.47,812.00,371.38,1319.76,1649.65,808.62,1517.92,899.88,1539.06,627.1
01Apr1900,776.81,812.40,371.53,1320.55,1650.77,809.15,1518.46,900.55,1539.82,626.1
02Apr1900,777.14,812.80,371.68,1321.34,1651.89,809.67,1518.99,901.22,1540.58,625.2
